42,1,96,39
54,2,81,98
44,3,0,96
63,4,3,15
71,5,45,85
42,6,23,40
56,7,3,9
57,8,8,97
64,9,22,46
63,10,30,81
8,11,56,0
51,12,83,74
24,13,57,41
75,14,66,83
66,15,68,54
74,16,58,43
66,17,74,46
48,18,10,14
20,19,84,72
61,20,10,42
26,21,41,78
24,22,84,77
10,23,60,34
9,24,70,5
54,25,87,96
41,26,52,64
81,27,1,92
42,28,3,24
88,29,36,30
4,30,8,7
92,31,89,6
31,32,56,94
95,33,81,88
8,34,4,80
34,35,3,2
8,36,23,76
96,37,73,22
0,38,78,55
81,39,8,13
99,40,55,10
27,41,27,9
27,42,88,64
17,43,40,51
19,44,20,18
95,45,50,12
54,46,15,56
42,47,80,75
44,48,10,12
28,49,28,42
